E_nu[MeV],Flux_per_MeV
5.24,0.0412784
5.25,0.0408547
5.26,0.0404332
5.27,0.0400143
5.28,0.0395979
5.29,0.0391833
5.30,0.0387703
5.31,0.0383587
5.32,0.037949
5.33,0.0375409
5.34,0.037135
5.35,0.0367313
5.36,0.0363301
5.37,0.0359319
5.38,0.035538
5.39,0.0351483
5.40,0.0347637
5.41,0.0343855
5.42,0.0340121
5.43,0.0336434
5.44,0.0332798
5.45,0.032919
5.46,0.0325614
5.47,0.0322073
5.48,0.0318579
5.49,0.0315142
5.50,0.0311771
5.51,0.0308465
5.52,0.0305224
5.53,0.0302046
5.54,0.0298914
5.55,0.0295827
5.56,0.029277
5.57,0.0289749
5.58,0.0286758
5.59,0.028379
5.60,0.0280844
5.61,0.0277918
5.62,0.0275021
5.63,0.0272153
5.64,0.0269318
5.65,0.0266524
5.66,0.026377
5.67,0.026106
5.68,0.0258391
5.69,0.0255754
5.70,0.025315
5.71,0.0250569
5.72,0.0248012
5.73,0.024546
5.74,0.0242909
5.75,0.0240347
5.76,0.0237774
5.77,0.0235189
5.78,0.0232601
5.79,0.0230024
5.80,0.0227458
5.81,0.0224916
5.82,0.0222395
5.83,0.0219885
5.84,0.0217383
5.85,0.0214884
5.86,0.0212383
5.87,0.0209888
5.88,0.0207411
5.89,0.0204957
5.90,0.0202538
5.91,0.0200163
5.92,0.0197813
5.93,0.0195479
5.94,0.0193142
5.95,0.0190789
5.96,0.018841
5.97,0.0186017
5.98,0.0183629
5.99,0.0181268
6.00,0.0178947
6.01,0.0176684
6.02,0.017447
6.03,0.0172292
6.04,0.0170141
6.05,0.0168001
6.06,0.0165867
6.07,0.0163744
6.08,0.0161645
6.09,0.0159577
6.10,0.0157555
6.11,0.0155583
6.12,0.0153647
6.13,0.015173
6.14,0.0149813
6.15,0.0147878
6.16,0.0145913
6.17,0.0143935
6.18,0.0141969
6.19,0.0140038
6.20,0.0138167
6.21,0.0136374
6.22,0.013465
6.23,0.0132984
6.24,0.0131359
6.25,0.0129764
6.26,0.0128186
6.27,0.0126628
6.28,0.0125093
6.29,0.0123591
6.30,0.0122123
6.31,0.0120693
6.32,0.0119297
6.33,0.0117929
6.34,0.0116579
6.35,0.0115243
6.36,0.0113915
6.37,0.0112597
6.38,0.0111298
6.39,0.011002
6.40,0.0108769
6.41,0.0107549
6.42,0.0106348
6.43,0.0105153
6.44,0.010395
6.45,0.0102724
6.46,0.0101471
6.47,0.0100203
6.48,0.00989416
6.49,0.00977086
6.50,0.00965261
6.51,0.00954091
6.52,0.00943452
6.53,0.0093317
6.54,0.0092305
6.55,0.00912911
6.56,0.00902622
6.57,0.0089223
6.58,0.00881799
6.59,0.00871426
6.60,0.00861203
6.61,0.0085118
6.62,0.008413
6.63,0.00831517
6.64,0.00821735
6.65,0.00811868
6.66,0.0080189
6.67,0.00791842
6.68,0.00781819
6.69,0.00771894
6.70,0.00762156
6.71,0.00752665
6.72,0.00743356
6.73,0.00734163
6.74,0.00724996
6.75,0.00715771
6.76,0.00706448
6.77,0.00697067
6.78,0.00687706
6.79,0.00678455
6.80,0.00669379
6.81,0.00660542
6.82,0.00651881
6.83,0.0064328
6.84,0.00634685
6.85,0.00625979
6.86,0.00617115
6.87,0.00608153
6.88,0.00599165
6.89,0.00590256
6.90,0.00581499
6.91,0.00572967
6.92,0.00564621
6.93,0.00556421
6.94,0.00548296
6.95,0.0054021
6.96,0.00532103
6.97,0.00523999
6.98,0.00515907
6.99,0.00507861
7.00,0.00499887
7.01,0.00491989
7.02,0.00484187
7.03,0.00476472
7.04,0.00468856
7.05,0.00461326
7.06,0.00453889
7.07,0.00446538
7.08,0.00439259
7.09,0.00432042
7.10,0.00424882
7.11,0.00417774
7.12,0.00410723
7.13,0.00403754
7.14,0.00396863
7.15,0.00390087
7.16,0.00383425
7.17,0.00376851
7.18,0.0037034
7.19,0.00363862
7.20,0.0035738
7.21,0.0035089
7.22,0.00344414
7.23,0.00338013
7.24,0.00331734
7.25,0.00325621
7.26,0.00319719
7.27,0.00314018
7.28,0.00308491
7.29,0.00303124
7.30,0.00297894
7.31,0.00292785
7.32,0.00287783
7.33,0.0028288
7.34,0.00278065
7.35,0.00273337
7.36,0.00268682
7.37,0.00264098
7.38,0.0025958
7.39,0.0025513
7.40,0.00250747
7.41,0.00246427
7.42,0.00242178
7.43,0.00238007
7.44,0.00233923
7.45,0.0022994
7.46,0.00226052
7.47,0.00222251
7.48,0.00218519
7.49,0.00214838
7.50,0.00211189
7.51,0.0020756
7.52,0.00203957
7.53,0.00200392
7.54,0.00196874
7.55,0.00193412
7.56,0.00190018
7.57,0.00186674
7.58,0.00183362
7.59,0.00180059
7.60,0.00176751
7.61,0.00173422
7.62,0.00170093
7.63,0.00166795
7.64,0.00163551
7.65,0.00160389
7.66,0.0015733
7.67,0.00154372
7.68,0.001515
7.69,0.00148702
7.70,0.0014597
7.71,0.00143287
7.72,0.00140616
7.73,0.0013792
7.74,0.00135158
7.75,0.00132287
7.76,0.00129292
7.77,0.00126221
7.78,0.00123148
7.79,0.00120146
7.80,0.00117285
7.81,0.00114619
7.82,0.00112126
7.83,0.00109761
7.84,0.00107481
7.85,0.00105244
7.86,0.00103016
7.87,0.00100791
7.88,0.000985708
7.89,0.000963582
7.90,0.000941559
7.91,0.000919692
7.92,0.000897994
7.93,0.000876554
7.94,0.000855433
7.95,0.000834694
7.96,0.000814389
7.97,0.000794474
7.98,0.000774902
7.99,0.000755628
8.00,0.000736594
8.01,0.000515026
8.02,0.000498179
8.03,0.000481498
8.04,0.000464954
8.05,0.000448542
8.06,0.000432249
8.07,0.000416048
8.08,0.000399931
8.09,0.000383885
8.10,0.000367889
8.11,0.000351951
8.12,0.000336188
8.13,0.000320743
8.14,0.000305749
8.15,0.000291349
8.16,0.000277681
8.17,0.000264881
8.18,0.000253091
8.19,0.000242454
8.20,0.000233101
8.21,0.000225089
8.22,0.000218098
8.23,0.00021173
8.24,0.000205575
8.25,0.000199229
8.26,0.000192417
8.27,0.000185334
8.28,0.000178301
8.29,0.000171644
8.30,0.000165682
8.31,0.000160665
8.32,0.000156541
8.33,0.000153183
8.34,0.000150468
8.35,0.000148266
